Point_Number,X_GaussKruger,Y_GaussKruger
566,4384215.38,4603954.96
567,4384255.78,4604042.93
568,4384296.18,4603954.96
569,4384336.58,4603866.98
570,4384376.97,4603779.01
571,4384376.97,4603691.04
572,4384417.37,4603691.04
573,4384457.77,4603603.07
574,4384498.17,4603515.1
575,4384498.17,4603427.13
576,4384538.57,4603427.13
577,4384578.97,4603339.16
578,4384619.37,4603251.19
579,4384659.77,4603251.19
580,4384700.17,4603163.21
581,4384740.57,4603075.24
582,4384780.97,4603075.24
583,4384821.37,4603075.24
584,4384861.77,4602987.27
585,4384902.17,4602987.27
586,4384942.57,4602987.27
587,4384982.97,4602899.3
588,4385023.37,4602987.27
589,4385063.77,4602987.27
590,4385104.17,4602899.3
591,4385144.57,4602899.3
592,4385184.97,4602899.3
593,4385225.37,4602899.3
594,4385265.77,4602811.33
595,4385306.17,4602723.36
596,4385346.57,4602635.39
597,4385306.17,4602547.41
598,4385306.17,4602459.44
599,4385306.17,4602371.47
600,4385265.77,4602283.5
601,4385225.37,4602195.53
602,4385225.37,4602107.56
603,4385225.37,4602019.59
604,4385265.77,4601931.61
605,4385306.17,4601843.64
606,4385346.57,4601843.64
607,4385386.96,4601755.67
608,4385427.36,4601667.7
609,4385467.76,4601667.7
610,4385508.16,4601667.7
611,4385548.56,4601667.7
612,4385588.96,4601667.7
613,4385629.36,4601579.73
614,4385669.76,4601579.73
615,4385710.16,4601579.73
616,4385750.56,4601579.73
617,4385790.96,4601491.76
618,4385790.96,4601403.79
619,4385831.36,4601491.76
620,4385871.76,4601403.79
621,4385912.16,4601403.79
622,4385952.56,4601403.79
623,4385992.96,4601315.81
624,4386033.36,4601315.81
625,4386073.76,4601227.84
626,4386114.16,4601227.84
627,4386154.56,4601227.84
628,4386194.96,4601139.87
629,4386235.36,4601051.9
630,4386275.76,4600963.93
631,4386275.76,4600875.96
632,4386235.36,4600787.99
633,4386194.96,4600787.99
634,4386154.56,4600700.02
635,4386114.16,4600700.02
636,4386154.56,4600612.04
637,4386114.16,4600524.07
638,4386114.16,4600436.1
639,4386114.16,4600348.13
640,4386114.16,4600260.16
641,4386114.16,4600172.19
642,4386114.16,4600084.22
643,4386154.56,4599996.24
644,4386154.56,4599908.27
645,4386194.96,4599820.3
646,4386235.36,4599732.33
647,4386275.76,4599644.36
648,4386275.76,4599556.39
649,4386316.16,4599468.42
650,4386356.56,4599380.44
651,4386396.96,4599292.47
652,4386437.35,4599204.5
653,4386396.96,4599116.53
654,4386437.35,4599028.56
655,4386477.75,4599116.53
656,4386518.15,4599028.56
657,4386518.15,4598940.59
658,4386558.55,4598852.62
659,4386598.95,4598852.62
660,4386639.35,4598764.64
661,4386598.95,4598676.67
662,4386639.35,4598676.67
663,4386679.75,4598588.7
664,4386720.15,4598588.7
665,4386760.55,4598500.73
666,4386760.55,4598412.76
667,4386800.95,4598412.76
668,4386841.35,4598324.79
669,4386841.35,4598236.82
670,4386841.35,4598148.85
671,4386881.75,4598060.87
672,4386922.15,4597972.9
673,4386922.15,4597884.93
674,4386962.55,4597796.96
675,4386962.55,4597708.99
676,4387002.95,4597708.99
677,4387043.35,4597708.99
678,4387083.75,4597621.02
679,4387083.75,4597533.05
680,4387124.15,4597445.07
681,4387124.15,4597357.1
682,4387164.55,4597269.13
683,4387204.95,4597269.13
684,4387245.35,4597181.16
685,4387245.35,4597093.19
686,4387204.95,4597005.22
687,4387245.35,4597005.22
688,4387285.75,4597005.22
689,4387326.15,4596917.25
690,4387326.15,4596829.27
691,4387326.15,4596741.3
692,4387366.55,4596653.33
693,4387406.95,4596653.33
694,4387447.35,4596565.36
695,4387487.74,4596477.39
696,4387487.74,4596389.42
697,4387528.14,4596301.45
698,4387568.54,4596213.47
699,4387608.94,4596125.5
700,4387649.34,4596037.53
701,4387649.34,4595949.56
702,4387689.74,4595861.59
703,4387730.14,4595773.62
704,4387770.54,4595685.65
705,4387810.94,4595597.68
706,4387851.34,4595509.7
707,4387891.74,4595421.73
708,4387891.74,4595333.76
709,4387932.14,4595245.79
710,4387932.14,4595157.82
711,4387972.54,4595069.85
712,4388012.94,4594981.88
713,4388053.34,4594893.9
714,4388093.74,4594893.9
715,4388134.14,4594805.93
716,4388134.14,4594717.96
717,4388134.14,4594629.99
718,4388174.54,4594629.99
719,4388214.94,4594542.02
720,4388255.34,4594454.05
721,4388295.74,4594366.08
722,4388295.74,4594278.1
723,4388336.14,4594278.1
724,4388376.54,4594190.13
725,4388416.94,4594102.16
726,4388457.34,4594014.19
727,4388497.73,4593926.22
728,4388497.73,4593838.25
729,4388538.13,4593838.25
730,4388578.53,4593750.28
731,4388618.93,4593662.3
732,4388659.33,4593574.33
733,4388699.73,4593486.36
734,4388740.13,4593486.36
735,4388780.53,4593398.39
736,4388780.53,4593310.42
737,4388820.93,4593310.42
738,4388861.33,4593222.45
739,4388861.33,4593134.48
740,4388901.73,4593046.51
741,4388942.13,4592958.53
742,4388982.53,4592958.53
743,4389022.93,4592870.56
744,4388982.53,4592782.59
745,4389022.93,4592694.62
746,4389063.33,4592782.59
747,4389103.73,4592694.62
748,4389103.73,4592606.65
749,4389144.13,4592606.65
750,4389184.53,4592518.68
751,4389184.53,4592430.71
752,4389224.93,4592342.73
753,4389265.33,4592254.76
754,4389305.73,4592166.79
755,4389346.13,4592078.82
756,4389386.53,4591990.85
757,4389426.93,4591902.88
758,4389386.53,4591814.91
759,4389426.93,4591726.93
760,4389467.33,4591638.96
761,4389467.33,4591550.99
762,4389507.73,4591550.99
763,4389548.12,4591550.99
764,4389588.52,4591463.02
765,4389588.52,4591375.05
766,4389628.92,4591287.08
767,4389628.92,4591199.11
768,4389669.32,4591111.13
769,4389669.32,4591023.16
770,4389709.72,4590935.19
771,4389750.12,4590847.22
772,4389750.12,4590759.25
773,4389790.52,4590671.28
774,4389790.52,4590583.31
775,4389830.92,4590495.34
776,4389830.92,4590407.36
777,4389830.92,4590319.39
778,4389871.32,4590231.42
779,4389871.32,4590143.45
780,4389911.72,4590055.48
781,4389911.72,4589967.51
782,4389952.12,4589879.54
783,4389952.12,4589791.56
784,4389952.12,4589703.59
785,4389952.12,4589615.62
786,4389911.72,4589527.65
787,4389952.12,4589439.68
788,4389952.12,4589351.71
789,4389952.12,4589263.74
790,4389952.12,4589175.76
791,4389952.12,4589087.79
792,4389992.52,4588999.82
793,4389952.12,4588911.85
794,4389992.52,4588823.88
795,4389952.12,4588735.91
796,4389911.72,4588735.91
797,4389952.12,4588735.91
798,4389992.52,4588647.94
799,4389992.52,4588559.96
800,4389992.52,4588471.99
801,4389992.52,4588384.02
802,4390032.92,4588296.05
803,4390032.92,4588208.08
804,4390073.32,4588120.11
805,4390073.32,4588032.14
806,4390073.32,4587944.16
807,4390073.32,4587856.19
808,4390032.92,4587768.22
809,4390073.32,4587680.25
810,4390113.72,4587680.25
811,4390154.12,4587592.28
812,4390154.12,4587504.31
813,4390194.52,4587504.31
814,4390234.92,4587504.31
815,4390275.32,4587416.34
816,4390275.32,4587328.37
817,4390275.32,4587240.39
818,4390315.72,4587152.42
819,4390315.72,4587064.45
820,4390356.12,4587064.45
821,4390396.52,4587064.45
822,4390436.92,4586976.48
823,4390477.32,4586976.48
824,4390517.72,4586888.51
825,4390558.12,4586800.54
826,4390598.51,4586712.57
827,4390638.91,4586624.59
828,4390679.31,4586536.62
829,4390719.71,4586448.65
830,4390760.11,4586360.68
831,4390760.11,4586272.71
832,4390800.51,4586184.74
833,4390800.51,4586096.77
834,4390840.91,4586008.79
835,4390881.31,4585920.82
836,4390881.31,4585832.85
837,4390921.71,4585744.88
838,4390921.71,4585656.91
839,4390921.71,4585568.94
840,4390921.71,4585480.97
841,4390962.11,4585392.99
842,4390962.11,4585305.02
843,4391002.51,4585217.05
844,4391042.91,4585129.08
845,4391042.91,4585041.11
846,4391083.31,4585041.11
847,4391123.71,4584953.14
848,4391164.11,4584865.17
849,4391204.51,4584865.17
850,4391244.91,4584777.2
851,4391285.31,4584777.2
852,4391325.71,4584689.22
853,4391366.11,4584689.22
854,4391406.51,4584601.25
855,4391446.91,4584601.25
856,4391487.31,4584601.25
857,4391527.71,4584601.25
858,4391568.11,4584601.25
859,4391608.5,4584601.25
860,4391648.9,4584601.25
861,4391689.3,4584513.28
862,4391729.7,4584513.28
863,4391770.1,4584513.28
864,4391810.5,4584513.28
865,4391850.9,4584513.28
866,4391891.3,4584425.31
867,4391931.7,4584337.34
868,4391972.1,4584337.34
869,4392012.5,4584337.34
870,4392052.9,4584337.34
871,4392093.3,4584249.37
872,4392133.7,4584161.4
873,4392174.1,4584161.4
874,4392214.5,4584161.4
875,4392254.9,4584161.4
876,4392295.3,4584161.4
877,4392335.7,4584161.4
878,4392376.1,4584161.4
879,4392416.5,4584161.4
880,4392456.9,4584073.42
881,4392497.3,4584073.42
882,4392537.7,4584073.42
883,4392578.1,4584073.42
884,4392618.5,4583985.45
885,4392658.89,4583985.45
886,4392699.29,4583897.48
887,4392699.29,4583809.51
888,4392658.89,4583721.54
889,4392618.5,4583721.54
890,4392578.1,4583721.54
891,4392537.7,4583809.51
892,4392537.7,4583721.54
893,4392578.1,4583721.54
894,4392618.5,4583633.57
895,4392658.89,4583721.54
896,4392699.29,4583633.57
897,4392699.29,4583721.54
898,4392739.69,4583809.51
899,4392780.09,4583809.51
900,4392820.49,4583809.51
901,4392860.89,4583809.51
902,4392901.29,4583809.51
903,4392941.69,4583809.51
904,4392982.09,4583721.54
905,4393022.49,4583809.51
906,4393062.89,4583721.54
907,4393062.89,4583633.57
908,4393103.29,4583545.6
909,4393143.69,4583633.57
910,4393184.09,4583633.57
911,4393224.49,4583633.57
912,4393264.89,4583545.6
913,4393305.29,4583545.6
914,4393345.69,4583457.62
915,4393386.09,4583369.65
916,4393386.09,4583281.68
917,4393386.09,4583193.71
918,4393426.49,4583105.74
919,4393426.49,4583017.77
920,4393426.49,4582929.8
921,4393466.89,4582841.82
922,4393466.89,4582753.85
923,4393466.89,4582665.88
924,4393507.29,4582577.91
925,4393547.69,4582577.91
926,4393588.09,4582489.94
927,4393628.49,4582401.97
928,4393588.09,4582314
929,4393588.09,4582226.03
930,4393628.49,4582226.03
931,4393668.88,4582138.05
932,4393709.28,4582050.08
933,4393709.28,4581962.11
934,4393749.68,4581962.11
935,4393790.08,4581874.14
936,4393830.48,4581786.17
937,4393870.88,4581698.2
938,4393911.28,4581698.2
939,4393951.68,4581610.23
940,4393951.68,4581522.25
941,4393951.68,4581434.28
942,4393951.68,4581346.31
943,4393992.08,4581434.28
944,4394032.48,4581434.28
945,4394072.88,4581434.28
946,4394113.28,4581346.31
947,4394153.68,4581346.31
948,4394194.08,4581258.34
949,4394234.48,4581258.34
950,4394274.88,4581170.37
951,4394315.28,4581170.37
952,4394355.68,4581082.4
953,4394396.08,4580994.43
954,4394436.48,4581082.4
955,4394476.88,4580994.43
956,4394517.28,4580906.45
957,4394557.68,4580818.48
958,4394598.08,4580818.48
959,4394638.48,4580818.48
960,4394678.88,4580818.48
961,4394719.27,4580730.51
962,4394759.67,4580730.51
963,4394800.07,4580642.54
964,4394840.47,4580642.54
965,4394880.87,4580554.57
966,4394921.27,4580466.6
967,4394961.67,4580466.6
968,4395002.07,4580466.6
969,4395042.47,4580378.63
970,4395082.87,4580290.65
971,4395123.27,4580290.65
972,4395163.67,4580290.65
973,4395204.07,4580202.68
974,4395244.47,4580202.68
975,4395284.87,4580114.71
976,4395244.47,4580026.74
977,4395204.07,4580026.74
978,4395244.47,4579938.77
979,4395284.87,4580026.74
980,4395325.27,4580026.74
981,4395365.67,4580026.74
982,4395406.07,4579938.77
983,4395446.47,4579938.77
984,4395486.87,4579850.8
985,4395527.27,4579762.83
986,4395567.67,4579674.86
987,4395608.07,4579586.88
988,4395648.47,4579498.91
989,4395648.47,4579410.94
990,4395688.87,4579322.97
991,4395688.87,4579235
992,4395648.47,4579147.03
993,4395608.07,4579059.06
994,4395567.67,4579059.06
995,4395527.27,4578971.08
996,4395486.87,4578883.11
997,4395446.47,4578883.11
